Date,High
2010-01-04,314.44
2010-01-05,313.61
2010-01-06,312.62
2010-01-07,304.7
2010-01-08,301.32
2010-01-11,301.93
2010-01-12,298.78
2010-01-13,293.9
2010-01-14,296.8
2010-01-15,296.48
2010-01-19,294.91
2010-01-20,292.7
2010-01-21,293.12
2010-01-22,285.01
2010-01-25,274.66
2010-01-26,274.53
2010-01-27,273.55
2010-01-28,273.23
2010-01-29,270.22
2010-02-01,267.64
2010-02-02,267.21
2010-02-03,270.78
2010-02-04,268.73
2010-02-05,266.48
2010-02-08,270.73
2010-02-09,270.49
2010-02-10,268.63
2010-02-11,269.97
2010-02-12,268.31
2010-02-16,271.79
2010-02-17,271.43
2010-02-18,272.23
2010-02-19,271.74
2010-02-22,273.48
2010-02-23,271.54
2010-02-24,268.95
2010-02-25,263.98
2010-02-26,265.61
2010-03-01,266.38
2010-03-02,272.56
2010-03-03,273.79
2010-03-04,277.79
2010-03-05,283.55
2010-03-08,282.31
2010-03-09,282.05
2010-03-10,288.96
2010-03-11,292.81
2010-03-12,293.84
2010-03-15,284.44
2010-03-16,283.93
2010-03-17,285.44
2010-03-18,283.94
2010-03-19,283.72
2010-03-22,283.14
2010-03-23,278.88
2010-03-24,279.64
2010-03-25,285.71
2010-03-26,283.41
2010-03-29,282.08
2010-03-30,283.53
2010-03-31,284.59
2010-04-05,287.15
2010-04-06,285.16
2010-04-07,284.09
2010-04-08,284.64
2010-04-09,284.1
2010-04-12,286.71
2010-04-13,294.15
2010-04-14,295.87
2010-04-15,298.62
2010-04-16,284.12
2010-04-19,276.72
2010-04-20,279.55
2010-04-21,279.84
2010-04-22,275.97
2010-04-23,274.39
2010-04-26,272.22
2010-04-27,268.9
2010-04-28,267.15
2010-04-29,267.98
2010-04-30,268.57
2010-05-03,266.19
2010-05-04,263.11
2010-05-05,257.6
2010-05-06,258.5
2010-05-07,252.41
2010-05-10,261.15
2010-05-11,259.68
2010-05-12,255.76
2010-05-13,260.74
2010-05-14,255.24
2010-05-17,253.93
2010-05-18,255.23
2010-05-19,249.47
2010-05-20,242.55
2010-05-21,242.26
2010-05-24,244.65
2010-05-25,238.49
2010-05-26,244.64
2010-05-27,245.91
2010-05-28,246.48
2010-06-01,245.28
2010-06-02,246.69
2010-06-03,253.75
2010-06-04,254.37
2010-06-07,250.2
2010-06-08,244.18
2010-06-09,244.2
2010-06-10,244.01
2010-06-11,244.11
2010-06-14,247.0
2010-06-15,249.95
2010-06-16,251.75
2010-06-17,252.68
2010-06-18,251.48
2010-06-21,250.23
2010-06-22,248.05
2010-06-23,243.2
2010-06-24,241.13
2010-06-25,238.58
2010-06-28,238.54
2010-06-29,232.04
2010-06-30,228.69
2010-07-01,223.98
2010-07-02,220.92
2010-07-06,223.61
2010-07-07,225.42
2010-07-08,228.44
2010-07-09,236.39
2010-07-12,239.48
2010-07-13,246.25
2010-07-14,246.67
2010-07-15,247.1
2010-07-16,235.04
2010-07-19,234.59
2010-07-20,241.25
2010-07-21,242.61
2010-07-22,244.25
2010-07-23,245.05
2010-07-26,245.13
2010-07-27,248.5
2010-07-28,247.38
2010-07-29,244.2
2010-07-30,243.44
2010-08-02,246.39
2010-08-03,245.98
2010-08-04,253.25
2010-08-05,254.05
2010-08-06,252.62
2010-08-09,252.5
2010-08-10,252.75
2010-08-11,248.75
2010-08-12,247.13
2010-08-13,245.35
2010-08-16,244.69
2010-08-17,247.1
2010-08-18,245.19
2010-08-19,241.01
2010-08-20,235.56
2010-08-23,233.89
2010-08-24,228.96
2010-08-25,228.68
2010-08-26,228.4
2010-08-27,229.77
2010-08-30,229.65
2010-08-31,227.21
2010-09-01,232.24
2010-09-02,231.98
2010-09-03,235.7
2010-09-07,233.56
2010-09-08,236.01
2010-09-09,239.96
2010-09-10,239.66
2010-09-13,241.93
2010-09-14,242.13
2010-09-15,240.7
2010-09-16,240.98
2010-09-17,245.35
2010-09-20,254.95
2010-09-21,259.73
2010-09-22,258.63
2010-09-23,259.58
2010-09-24,263.65
2010-09-27,268.16
2010-09-28,266.53
2010-09-29,266.2
2010-09-30,265.67
2010-10-01,265.04
2010-10-04,263.86
2010-10-05,269.73
2010-10-06,269.7
2010-10-07,268.33
2010-10-08,268.53
2010-10-11,272.03
2010-10-12,272.72
2010-10-13,273.47
2010-10-14,272.35
2010-10-15,300.52
2010-10-18,309.54
2010-10-19,307.1
2010-10-20,308.38
2010-10-21,307.69
2010-10-22,307.1
2010-10-25,312.06
2010-10-26,310.3
2010-10-27,309.69
2010-10-28,310.19
2010-10-29,309.19
2010-11-01,310.02
2010-11-02,309.69
2010-11-03,310.6
2010-11-04,314.65
2010-11-05,312.43
2010-11-08,314.43
2010-11-09,315.11
2010-11-10,311.19
2010-11-11,309.62
2010-11-12,308.14
2010-11-15,301.7
2010-11-16,298.65
2010-11-17,294.46
2010-11-18,299.69
2010-11-19,298.65
2010-11-22,296.42
2010-11-23,294.21
2010-11-24,298.0
2010-11-26,296.19
2010-11-29,294.61
2010-11-30,286.87
2010-12-01,285.5
2010-12-02,286.38
2010-12-03,287.95
2010-12-06,290.71
2010-12-07,296.2
2010-12-08,295.96
2010-12-09,297.49
2010-12-10,296.7
2010-12-13,301.2
2010-12-14,298.85
2010-12-15,297.93
2010-12-16,296.59
2010-12-17,295.98
2010-12-20,298.64
2010-12-21,302.06
2010-12-22,303.2
2010-12-23,302.7
2010-12-27,301.59
2010-12-28,301.63
2010-12-29,300.9
2010-12-30,300.37
2010-12-31,298.91
2011-01-03,302.49
2011-01-04,302.79
2011-01-05,304.86
2011-01-06,308.91
2011-01-07,308.82
2011-01-10,307.39
2011-01-11,309.09
2011-01-12,309.37
2011-01-13,309.53
2011-01-14,311.82
2011-01-18,320.67
2011-01-19,321.16
2011-01-20,316.72
2011-01-21,320.54
2011-01-24,305.94
2011-01-25,310.03
2011-01-26,310.93
2011-01-27,309.54
2011-01-28,309.87
2011-01-31,301.93
2011-02-01,306.37
2011-02-02,306.86
2011-02-03,305.42
2011-02-04,305.42
2011-02-07,308.89
2011-02-08,309.5
2011-02-09,309.42
2011-02-10,308.44
2011-02-11,312.19
2011-02-14,314.5
2011-02-15,314.73
2011-02-16,312.94
2011-02-17,313.31
2011-02-18,315.27
2011-02-22,312.15
2011-02-23,307.04
2011-02-24,306.24
2011-02-25,307.05
2011-02-28,307.94
2011-03-01,309.3
2011-03-02,302.7
2011-03-03,305.44
2011-03-04,304.19
2011-03-07,301.54
2011-03-08,298.69
2011-03-09,296.96
2011-03-10,293.02
2011-03-11,289.71
2011-03-14,288.86
2011-03-15,285.21
2011-03-16,284.61
2011-03-17,284.22
2011-03-18,283.71
2011-03-21,289.61
2011-03-22,289.33
2011-03-23,290.93
2011-03-24,293.9
2011-03-25,293.16
2011-03-28,292.2
2011-03-29,290.65
2011-03-30,292.46
2011-03-31,293.79
2011-04-01,297.3
2011-04-04,297.07
2011-04-05,290.45
2011-04-06,287.29
2011-04-07,290.03
2011-04-08,292.15
2011-04-11,288.76
2011-04-12,288.17
2011-04-13,288.51
2011-04-14,289.44
2011-04-15,272.6
2011-04-18,263.57
2011-04-19,265.17
2011-04-20,263.15
2011-04-21,263.88
2011-04-25,263.24
2011-04-26,268.45
2011-04-27,268.79
2011-04-28,269.35
2011-04-29,271.78
2011-05-02,272.59
2011-05-03,270.73
2011-05-04,269.23
2011-05-05,269.44
2011-05-06,270.46
2011-05-09,268.98
2011-05-10,271.94
2011-05-11,271.5
2011-05-12,268.2
2011-05-13,267.69
2011-05-16,263.37
2011-05-17,265.34
2011-05-18,264.9
2011-05-19,268.0
2011-05-20,265.73
2011-05-23,259.74
2011-05-24,261.72
2011-05-25,261.12
2011-05-26,260.8
2011-05-27,260.63
2011-05-31,264.26
2011-06-01,266.33
2011-06-02,264.88
2011-06-03,263.54
2011-06-06,263.15
2011-06-07,262.05
2011-06-08,260.36
2011-06-09,259.74
2011-06-10,258.09
2011-06-13,254.84
2011-06-14,256.78
2011-06-15,253.92
2011-06-16,253.81
2011-06-17,253.09
2011-06-20,242.87
2011-06-21,246.72
2011-06-22,245.93
2011-06-23,241.19
2011-06-24,240.13
2011-06-27,244.0
2011-06-28,247.86
2011-06-29,249.87
2011-06-30,253.08
2011-07-01,260.33
2011-07-05,267.43
2011-07-06,268.99
2011-07-07,275.06
2011-07-08,268.56
2011-07-11,267.72
2011-07-12,269.44
2011-07-13,271.73
2011-07-14,270.73
2011-07-15,299.82
2011-07-18,300.72
2011-07-19,302.04
2011-07-20,301.11
2011-07-21,303.73
2011-07-22,309.44
2011-07-25,312.39
2011-07-26,313.44
2011-07-27,310.16
2011-07-28,307.68
2011-07-29,307.17
2011-08-01,307.44
2011-08-02,299.11
2011-08-03,301.2
2011-08-04,299.13
2011-08-05,294.7
2011-08-08,284.22
2011-08-09,287.02
2011-08-10,281.78
2011-08-11,283.97
2011-08-12,284.96
2011-08-15,282.21
2011-08-16,275.94
2011-08-17,271.57
2011-08-18,262.18
2011-08-19,257.18
2011-08-22,253.25
2011-08-23,260.44
2011-08-24,264.74
2011-08-25,268.37
2011-08-26,264.96
2011-08-29,269.46
2011-08-30,271.22
2011-08-31,272.88
2011-09-01,271.64
2011-09-02,263.7
2011-09-06,261.12
2011-09-07,267.7
2011-09-08,269.28
