Date,Open,High,Low,Close,Volume
2017-01-23 09-30,119.93,119.93,119.93,119.93,148142
2017-01-23 09-31,120.23,120.23,120.23,120.23,1039374
2017-01-23 09-32,120.18,120.18,120.18,120.18,250078
2017-01-23 09-33,120.27,120.27,120.27,120.27,206714
2017-01-23 09-34,120.38,120.38,120.38,120.38,246886
2017-01-23 09-35,120.466,120.466,120.466,120.466,207392
2017-01-23 09-36,120.56,120.56,120.56,120.56,309412
2017-01-23 09-37,120.56,120.56,120.56,120.56,156179
2017-01-23 09-38,120.64,120.64,120.64,120.64,164749
2017-01-23 09-39,120.78,120.78,120.78,120.78,184748
2017-01-23 09-40,120.63,120.63,120.63,120.63,264289
2017-01-23 09-41,120.5525,120.5525,120.5525,120.5525,162075
2017-01-23 09-42,120.345,120.345,120.345,120.345,237332
2017-01-23 09-43,120.4736,120.4736,120.4736,120.4736,163360
2017-01-23 09-44,120.5,120.5,120.5,120.5,129302
2017-01-23 09-45,120.4443,120.4443,120.4443,120.4443,83788
2017-01-23 09-46,120.44,120.44,120.44,120.44,69352
2017-01-23 09-47,120.52,120.52,120.52,120.52,80062
2017-01-23 09-48,120.48,120.48,120.48,120.48,84052
2017-01-23 09-49,120.52,120.52,120.52,120.52,54659
2017-01-23 09-50,120.39,120.39,120.39,120.39,110787
2017-01-23 09-51,120.445,120.445,120.445,120.445,92862
2017-01-23 09-52,120.39,120.39,120.39,120.39,48124
2017-01-23 09-53,120.3499,120.3499,120.3499,120.3499,85275
2017-01-23 09-54,120.31,120.31,120.31,120.31,54155
2017-01-23 09-55,120.31,120.31,120.31,120.31,44529
2017-01-23 09-56,120.21,120.21,120.21,120.21,88363
2017-01-23 09-57,120.19,120.19,120.19,120.19,100921
2017-01-23 09-58,120.1835,120.1835,120.1835,120.1835,21471
2017-01-23 09-59,120.2,120.2,120.2,120.2,47990
2017-01-23 10-00,120.37,120.37,120.37,120.37,138632
2017-01-23 10-01,120.3225,120.3225,120.3225,120.3225,85119
2017-01-23 10-02,120.36,120.36,120.36,120.36,67448
2017-01-23 10-03,120.278,120.278,120.278,120.278,56427
2017-01-23 10-04,120.33,120.33,120.33,120.33,70135
2017-01-23 10-05,120.35,120.35,120.35,120.35,65428
2017-01-23 10-06,120.33,120.33,120.33,120.33,69489
2017-01-23 10-07,120.2842,120.2842,120.2842,120.2842,81797
